wine_key,name,cost,vintage,single_estate,alcohol,composition_id,type_id,note,bottle_size,sugar,acidity,ph,vegan,organic,producer_id,region_id,subregion_id,locale_id,appellation_id,maturation_id,vinification_id,,,vendor_sku,quantity
npb-13-c53-losi-fr-al-ri,Nature'S Pinot Blanc ,10,2013,TRUE,12.5,53,6,"Mineral and lemon aromas, balanced by a rich chalk body and citrus fresh fruit flavours. A classic elegant finish, with flint and lemon rind developing.",75,,,,FALSE,TRUE,19,18,29,,18,,,,,FRLSPB,15
npg-09-c42-losi-fr-al-ri,Nature'S Pinot Gris ,15.13,2009,TRUE,12.5,42,6,"Intense tropical fruit, citrus peel and spice. Delicate acidity and exotic spice flavours balance each other brilliantly.",75,,,,FALSE,TRUE,19,18,29,,18,,,,,FRLSPG,15
mdc-10-c54-madu-fr-bu-be,Manoir du Carra,12.35,2010,TRUE,13,54,3,"Deep ruby colour, cassis and strawberry on the nose. Rounded fine tannins on the palate suit the intense red and black berry fruit profile. Vanilla, tobacco and spice develop in the glass making this a very serious fine wine.",75,,,,,,39,13,30,15,34,,,,,FRMVC,15
c-11-c55-doal-fr-rh-ch,Chateauneuf-du-Pape,18.73,2011,TRUE,14.5,55,2,"Plum, redcurrant and blackcurrant on the complex aroma, with cardamom and white pepper developing in the glass; silky tannins, and fresh acidity are well balanced by the concentrated red fruit and truffle dominated palate. Great length.",75,,,,,,40,17,31,,35,,13,,,FRCDPJ,15
ccr-07-c12-fatr-it-tu-ch,Chianti Classico Riserva,21.67,2007,TRUE,13.5,12,2,"Intense truffle, spice, cherry and redcurrant aromas; full body with grippy, well integrated tannins; and crisp acidity work well with the complex flavour profile which continues on the long finish.",75,,,,,,41,11,32,16,36,,,,,ITCCR,15
cc-11-c12-fatr-it-tu-ch,Chianti Classico,10.48,2011,TRUE,13.5,12,2,"Classic cherry and spice perfume, firm tannins, and crisp acidity typical of sangiovese; well balanced by the concentrated sour cherry and complex truffle and spice aromas.",75,,,,,,41,11,32,16,36,20,14,,,ITCC,15
mr-09-c25-cach-ar-me,Malbec Réserve,8.89,2009,TRUE,14,25,1,Rich reserve level wine with green bramble and blackcurrant intensity with a long finish.,75,,,,,,42,20,,,,,,,,AWCCM,15
cnb-nv-c56-fr-es-ca,Cordon Negro Brut,8.76,NV,FALSE,12,56,7,,75,,,,,,43,30,,,,,,,,SPFRE075,15
s-08-c57-chha-fr-bo-sa,Sauternes,19.43,2008,TRUE,13.5,57,8,"Apricot and sweet orange on the opulent nose, sweet luxurious floral and citrus on the palate with complex honey overtones. Great lemon acidity on the finish refreshes the palate and shows clearly the high quality of this exception sweet wine.",75,,,,,,44,31,33,17,37,,15,,,FRSAU750,15
s-07-c57-chha-fr-bo-sa-37.5,Sauternes,11.24,2007,TRUE,13.5,57,8,"Apricot and sweet orange on the opulent nose, sweet luxurious floral and citrus on the palate with complex honey overtones. Great lemon acidity on the finish refreshes the palate and shows clearly the high quality of this exception sweet wine.",37.5,,,,,,44,31,33,17,37,,15,,,FRSAU375,15
c-12-c12-ro-it-tu-ch,Chianti,6.67,2012,FALSE,12.5,12,2,"Red cherry and pepper spice on the nose, well intergrated tannin and fresh acidity, balanced by the intense cherry and redcurrant flavours that are fresh and vibrant.",75,,,,,,45,11,32,,38,,,,,ITCHI,15
m-nv-c58-lagi-es-an-je,Manzanilla,10.15,NV,FALSE,15,58,10,"Incredibly fresh, with a salty, tangy character reminiscent of a sea breeze. A complex, nutty palate and crisp, palate-cleansing finish.",75,,,,,,46,32,34,18,39,,,,,SHMLG,15
cw-12-c59-doal-fr-rh-ch,Châteauneuf-du-Pape White,22.01,2012,TRUE,13.5,59,6,"Lemony herbal nose, chalk citrus and complex fresh herbs on crisp palate. Complex finish.",75,,,,,,40,17,31,,18,,,,,FRCDPW,15
md-12-c60-fe-it-ab,Montepulciano d'Abruzzo,6.38,2012,FALSE,13,60,1,"Black cherry and plum aromas, with fresh acidity, chunky tempting tannins, and great depth of flavour on the palate; vanilla and maraschino cherry on the finish",75,,,,,,47,34,,,,,,,,ITMON,15
msemsl-13-c61-dodu-fr-lo-mu,Muscadet Servre et Maine Sur Lie,6.31,2013,FALSE,12,61,6,"Lemon and brioche on the nose, with fresh acidity and almonds on the palate. Zesty citrus finish",75,,,,,,48,21,35,,40,,,,,FRMUS,15
mms-nv-c13-bade-pt-ma,Madeira Meio Seco,11.54,NV,FALSE,20,13,9,"Nuts, dates and dried fruit aromas following through on the off dry palate. Great complexity and intensity of flavours on the finish.",75,,,,FALSE,FALSE,10,10,,,10,7,,,,MABVM,15
ms-nv-c13-bade-pt-ma,Madeira Seco,11.54,NV,FALSE,18,13,9,"Prunes and dried lemon rind on the nose, with intense nutty, rich, almost bitter notes on the complex, well balanced palate.",75,,,,FALSE,FALSE,10,10,,,10,7,,,,MABVD,15
dd-12-c62-go-it-pi-as,Dolcetto D'Alba,8.57,2012,TRUE,12.5,62,3,"Red cherries and cranberry purfume, medium tannins, tart redcurrant on the palate.",75,,,,FALSE,TRUE,24,7,18,2,41,,,,,ITDA,15
vb-nv-c63-code-fr-lo-vo,Vouvray Brut,10.2,NV,FALSE,12,63,7,"Honey and lemon purfume, fine bubbles and elegasnt finish.",75,,,,,,49,21,36,,42,,,,,SPVOU,15
cdl-nv-c64-code-fr-lo,Cremant de Loire,10.44,NV,FALSE,12.5,64,7,"Crisp, traditional method, brioche, lemon and honey flavours.",75,,,,,,49,21,,,43,,,,,SPCDL,15
